side,move,elapsed_seconds,x,y,z,outward_progress,gate_links,panels_open,time_scale,image
north,0,0.000,0.000,0.083,34.000,34.000,0,false,1.00,north_00.png
north,1,0.125,0.000,0.083,34.550,34.550,0,false,1.00,north_01.png
north,2,0.256,0.000,0.083,35.100,35.100,0,false,1.00,north_02.png
north,3,0.385,0.000,0.083,35.650,35.650,0,false,1.00,north_03.png
north,4,0.509,0.000,0.083,36.200,36.200,0,false,1.00,north_04.png
north,5,0.642,0.000,0.083,36.750,36.750,0,false,1.00,north_05.png
north,6,0.769,0.000,0.083,37.300,37.300,0,false,1.00,north_06.png
north,7,0.896,0.000,0.083,37.850,37.850,0,false,1.00,north_07.png
north,8,1.023,0.000,0.083,38.400,38.400,0,false,1.00,north_08.png
north,9,1.145,0.000,0.083,38.833,38.833,0,false,1.00,north_09.png
north,10,1.269,0.000,0.083,38.833,38.833,0,false,1.00,north_10.png
north,11,1.408,0.000,0.083,38.833,38.833,0,false,1.00,north_11.png
north,12,1.538,0.000,0.083,38.833,38.833,0,false,1.00,north_12.png
north,13,1.673,0.000,0.083,38.833,38.833,0,false,1.00,north_13.png
north,14,1.804,0.000,0.083,38.833,38.833,0,false,1.00,north_14.png
north,15,1.934,0.000,0.083,38.833,38.833,0,false,1.00,north_15.png
north,16,2.065,0.000,0.083,38.833,38.833,0,false,1.00,north_16.png
north,17,2.195,0.000,0.083,38.833,38.833,0,false,1.00,north_17.png
north,18,2.326,0.000,0.083,38.833,38.833,0,false,1.00,north_18.png
north,19,2.469,0.000,0.083,38.833,38.833,0,false,1.00,north_19.png
north,20,2.602,0.000,0.083,38.833,38.833,0,false,1.00,north_20.png
north,21,2.732,0.000,0.083,38.833,38.833,0,false,1.00,north_21.png
north,22,2.862,0.000,0.083,38.833,38.833,0,false,1.00,north_22.png
north,23,2.994,0.000,0.083,38.833,38.833,0,false,1.00,north_23.png
north,24,3.124,0.000,0.083,38.833,38.833,0,false,1.00,north_24.png
north,25,3.254,0.000,0.083,38.833,38.833,0,false,1.00,north_25.png
north,26,3.385,0.000,0.083,38.833,38.833,0,false,1.00,north_26.png
north,27,3.519,0.000,0.083,38.833,38.833,0,false,1.00,north_27.png
north,28,3.652,0.000,0.083,38.833,38.833,0,false,1.00,north_28.png
north,29,3.783,0.000,0.083,38.833,38.833,0,false,1.00,north_29.png
north,30,3.907,0.000,0.083,38.833,38.833,0,false,1.00,north_30.png
north,31,4.031,0.000,0.083,38.833,38.833,0,false,1.00,north_31.png
north,32,4.155,0.000,0.083,38.833,38.833,0,false,1.00,north_32.png
north,33,4.292,0.000,0.083,38.833,38.833,0,false,1.00,north_33.png
north,34,4.414,0.000,0.083,38.833,38.833,0,false,1.00,north_34.png
north,35,4.536,0.000,0.083,38.833,38.833,0,false,1.00,north_35.png
north,36,4.674,0.000,0.083,38.833,38.833,0,false,1.00,north_36.png
north,37,4.803,0.000,0.083,38.833,38.833,0,false,1.00,north_37.png
north,38,4.934,0.000,0.083,38.833,38.833,0,false,1.00,north_38.png
north,39,5.063,0.000,0.083,38.833,38.833,0,false,1.00,north_39.png
north,40,5.194,0.000,0.083,38.833,38.833,0,false,1.00,north_40.png
